date,age,total
2022-03-29,180,1
2022-03-29,357,1
2022-03-29,1,4670
2022-03-28,1,6485
2022-03-27,127,1
2022-03-31,30,41
2022-03-31,2,9
2022-03-31,486,1
2022-03-27,96,4
2022-03-30,128,3
2022-03-30,214,3
2022-03-29,36,6
2022-03-27,292,1
2022-03-28,67,2
2022-03-30,48,2
2022-03-30,121,10
2022-03-27,372,1
2022-03-30,504,2
2022-03-30,60,5
2022-03-31,315,1
2022-03-27,260,1
2022-03-29,244,2
2022-03-29,239,4
2022-03-27,189,1
2022-03-28,78,5
2022-03-30,476,1
2022-03-31,482,1
2022-03-28,259,2
2022-03-28,206,1
2022-03-27,101,2
2022-03-28,72,1
2022-03-29,6,61
2022-03-27,85,2
2022-03-31,6,211
2022-03-29,280,2
2022-03-28,17,3
2022-03-29,55,4
2022-03-29,3,4
2022-03-28,50,7
2022-03-29,56,1
2022-03-30,42,1
2022-03-27,131,1
2022-03-28,164,2
2022-03-30,213,4
2022-03-30,2,7
2022-03-28,260,3
2022-03-29,14,1
2022-03-31,144,1
2022-03-30,146,1
2022-03-31,307,2
2022-03-29,5,3
2022-03-30,12,1
2022-03-27,37,3
2022-03-30,13,1
2022-03-27,373,1
2022-03-27,51,1
2022-03-29,247,16
2022-03-30,7,27
2022-03-28,43,14
2022-03-29,7,19
2022-03-30,219,2
2022-03-30,518,1
2022-03-29,8,6
2022-03-30,221,12
2022-03-28,201,4
2022-03-28,89,1
2022-03-30,331,1
2022-03-29,60,2
2022-03-31,15,1
2022-03-28,382,2
2022-03-27,306,1
2022-03-28,65,2
2022-03-29,286,1
2022-03-31,463,1
2022-03-29,374,1
2022-03-28,108,1
2022-03-28,271,10
2022-03-29,2,9
2022-03-28,58,4
2022-03-30,30,60
2022-03-27,370,3
2022-03-28,7,10
2022-03-28,73,1
2022-03-31,68,1
2022-03-31,20,2
2022-03-28,167,3
2022-03-27,105,1
2022-03-28,62,8
2022-03-29,42,8
2022-03-28,186,11
2022-03-29,360,1
2022-03-27,95,1
2022-03-29,288,1
2022-03-29,531,7
2022-03-28,20,3
2022-03-31,113,2
2022-03-30,168,1
2022-03-27,11,1
2022-03-30,53,1
2022-03-31,139,1
2022-03-31,483,3
2022-03-28,266,2
2022-03-27,84,1
2022-03-28,57,12
2022-03-30,124,6
2022-03-29,256,1
2022-03-31,22,1
2022-03-27,90,2
